CustId,CustName
762013259,Comstar Automotive Technologies Private Limited (Chennai)
862013891,"Piaggio Vehicles Private Limited (Engine Plant, Baramati)"
862013892,Jadhao Gears Limited (Amravati)
862013895,"Endurance Technologies Limited  (E92, Waluj)"
862013896,Continental Engines Private Limited (Haridwar)
862013899,Bhavani Industries India LLP (Rajkot)
862013903,"Endurance Technologies Limited  ( K120 , Aurangabad)"
862013904,Endurance Technologies Limited  (K 228 Waluj)
862013905,"TATA Motors Limited  (ERC, Pimpri)"
862013907,Ashok Leyland Limited (Bhandara)
862013908,"Rathi Transpower Private Limited  (Alandi, Pune)"
862013909,"Ashok Leyland Limited  (Ennore, Chennai)"
862013910,Ashok Leyland Limited (Pantnagar)
862013911,API Motors Private Limited (Haridwar)
862013912,Lohia Auto Industries (Uttrakhand)
862013914,"UCAL Auto Private Limited (Kancheepuram, TN)"
862013915,John Deere India Private Limited (Pune Works  Eou Unit)
862013916,Helvoet Rubber and Plastics Technologies India Private Limited (Pune)
862013917,Kurukshetra Automobiles  Private Limited 
862013918,"Mahindra & Mahindra Limited  (Farm Div, Zaheerabad)"
862013919,York Transport Equipment India Private Limited (Pune)
862013920,Pioneer Engineering Industries (Pune)
862013922,VE Commercial Vehicles Limited  (Pithampur)
862013924,Divgi Torqtransfer Systems Private Limited (Bhosari)
862013926,Mahindra & Mahindra Limited  (Bhiwandi)
862013928,"Mahindra & Mahindra Limited  (FES, Rajkot)"
862013929,Mahindra & Mahindra Limited  (Nagpur)
862013930,"Mahindra & Mahindra Limited  ( MRV, Kanchipuram)"
862013931,Mahindra & Mahindra Limited  (Zaheerabad)
862013932,"Mahindra & Mahindra Limited  (FD, Rudrapur)"
862013933,Mahindra & Mahindra Limited  (Haridwar)
862013934,"Mahindra & Mahindra Limited  (Sapre Buss, Hydrabad)"
862013935,Mahindra & Mahindra Limited  (Sapre Buss. Kanhe)
862013937,Mahindra & Mahindra Limited  (Nashik)
862013938,ATE Enterprises Private Limited  (Sanand)
862013939,Abhijay Auto Parts Private Limited (Aurangabad)
862013941,Atul Auto Limited (Rajkot)
862013942,"Badve Engineering Limited (Unit -6A, Waluj, Aurangabad)"
